GEN_NUMB;ELEMENT;BEST_FITNESS; MID_FITNESS; WORST_FITNESS
46;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;252297;1011;0;
47;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;478482;973;0;
48;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;249043;1003;0;
49;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;22670;983;0;
50;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;23726;994;0;
51;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;364795;1020;0;
52;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;316505;980;0;
53;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;378099;972;0;
54;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;282600;1006;0;
55;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;15230;1021;0;
56;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;403084;1023;-3.402823E+38;
57;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;370005;1064;0;
58;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;205975;1039;0;
59;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;455144;949;0;
60;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;454544;1000;0;
61;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;340603;968;0;
62;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;441917;994;0;
63;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;265893;1054;0;
64;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;348535;998;0;
65;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;484478;1008;0;
66;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;422543;1010;0;
67;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;349254;1072;0;
68;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;472050;973;0;
69;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;510733;987;0;
70;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;65906;979;0;
71;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;502126;928;0;
72;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;474004;962;0;
73;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;601893;995;0;
74;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;193207;988;0;
75;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;482955;995;0;
76;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;419709;927;0;
77;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;395991;1007;0;
78;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;561126;1041;0;
79;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;310289;1042;0;
80;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;587033;994;0;
81;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;366988;1064;0;
82;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;20000;1039;0;
83;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;468508;1046;0;
84;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;480822;1045;0;
85;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;295616;974;0;
86;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;519934;978;0;
